player_name,player_image_url,02/01/2023,09/01/2023,16/01/2023,30/01/2023,06/02/2023,13/02/2023,20/02/2023,27/02/2023,06/03/2023,20/03/2023,03/04/2023,10/04/2023,17/04/2023,24/04/2023,08/05/2023,22/05/2023,29/05/2023,12/06/2023,19/06/2023,26/06/2023,03/07/2023,17/07/2023,24/07/2023,31/07/2023,07/08/2023,14/08/2023,21/08/2023,28/08/2023,11/09/2023,18/09/2023,25/09/2023,02/10/2023,16/10/2023,23/10/2023,30/10/2023,06/11/2023,13/11/2023,20/11/2023,27/11/2023,04/12/2023,11/12/2023,18/12/2023,25/12/2023,01/01/2024,08/01/2024,15/01/2024,29/01/2024,05/02/2024,12/02/2024,19/02/2024,26/02/2024,04/03/2024,18/03/2024,01/04/2024,08/04/2024,15/04/2024,22/04/2024,06/05/2024,20/05/2024,27/05/2024,10/06/2024,17/06/2024,24/06/2024,01/07/2024,15/07/2024,22/07/2024,29/07/2024,05/08/2024,12/08/2024,19/08/2024,26/08/2024,09/09/2024,16/09/2024,23/09/2024,30/09/2024,14/10/2024,21/10/2024,28/10/2024,04/11/2024,11/11/2024,18/11/2024,25/11/2024,02/12/2024,09/12/2024,16/12/2024,23/12/2024,30/12/2024,06/01/2025,13/01/2025,27/01/2025,03/02/2025,10/02/2025,17/02/2025,24/02/2025,03/03/2025,17/03/2025,31/03/2025,07/04/2025,14/04/2025,21/04/2025,05/05/2025,19/05/2025,26/05/2025,09/06/2025
Alex De Minaur,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2651.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2950,,,,3210,3210,3210,3300,,,,,,,,3845,4085,3830,3830,4185,4185,4185,4080,3480,3435,3435,,,,,3610,3570,3725,3745,3745,3745,3745,3745,3745,3745,3745,3745,3535,3535,3735,3735,4015,3735,3785,3335,,3335,3335,3535,3585,3635,3635,3635,3285
Alexander Zverev,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2375.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3030,3030,3280,3450,3460,3460,3540,3585,3585,3985,3985,3985,3985,3985,3985,3985,4275,4275,5030,5030,5030,5030,5085,4950,5060,5415,5415,5425,5425,5435,6345,6305,6885,6885,6905,6905,7015,7295,6845,6845,6995,7035,7035,7075,7075,6875,6705,6795,6795,6805,7715,7315,7915,7915,7915,7915,7915,7915,7915,7635,7635,8135,8135,8135,8135,8135,8135,7945,7645,7645,7595,8085,8085,7285,7285,6385
Andrey Rublev,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2642.png,3930,3930,3930,4200,4200,4065,3860,3405,3660,3390,3470,3470,4380,4280,4190,4270,4270,4000,4000,4255,4255,4525,4730,4730,4595,4595,4515,4515,4515,4515,4515,4550,4765,4765,4935,5205,4805,4805,4805,4805,4805,4805,4805,4805,5010,5010,5050,5050,5050,5105,5110,5010,4970,4890,4890,3935,3830,4740,4700,4700,4710,4710,4420,4420,4070,3830,3885,3975,4615,4805,4805,4645,4645,4645,4700,4110,4150,4070,3720,3760,3760,3760,3760,3760,3760,3760,3760,3520,3520,3130,3220,3270,3220,3670,3480,3440,3440,3440,3490,3530,,,,
Carlos Alcaraz,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/3782.png,6820,6820,6820,6730,6730,6730,6480,6780,6780,7420,6780,6780,6770,6770,6770,6815,6815,7175,7175,7675,7675,9675,9375,9225,9225,9395,9815,9815,8535,8535,8535,8715,8805,8805,8625,8455,8455,8855,8855,8855,8855,8855,8855,8855,8855,8855,9255,9255,9255,9105,8805,8805,8805,8645,8645,8645,8145,7345,7300,7300,8580,8580,8130,8130,8130,8130,8130,8130,7950,7360,7360,6690,6690,6690,7010,7120,7120,7120,7210,6810,7010,7010,7010,7010,7010,7010,7010,7010,7010,7010,7010,7510,7410,7510,7510,6910,6720,6720,7720,8050,7850,8850,8850,8850
Casper Ruud,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2989.png,5820,5720,5720,5765,5765,5515,5515,5515,5560,5560,5005,5255,5255,5210,5165,4915,4960,4960,4960,4960,4960,5005,4905,4985,4985,4715,4715,4715,3560,3560,3560,3605,3685,3705,3705,3625,,,,,,,,,,,,,,,,3405,3560,3615,3465,4025,4480,4535,4185,4425,4025,4025,4025,4025,4030,3925,3880,3880,3890,3855,3855,4010,4010,4010,3965,3885,3890,3855,3855,3855,4255,4255,4255,4255,4255,4255,4255,4210,4210,4160,4160,4480,4480,4325,4045,3855,3855,3765,3215,,3715,3905,3655,
Daniil Medvedev,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2383.png,4065,3860,3860,,,,3250,3320,3775,4330,5150,5150,5240,5240,5330,6330,6330,6100,5845,5890,5890,6520,6520,6520,6360,6530,6260,6260,7280,7280,7280,7490,7355,7355,7200,7200,7200,7600,7600,7600,7600,7600,7600,7600,7555,7555,8765,8765,8765,8265,8015,7715,7765,7165,7165,7085,7085,7195,6295,6295,6485,6485,6445,6445,6525,6525,6525,6525,6355,6275,6275,5475,5475,5475,5375,5530,5530,5230,5230,4830,5030,5030,5030,5030,5030,5030,5030,5030,5030,3780,3780,3830,3930,4030,3930,3680,,,3290,3290,,,,
Felix Auger Aliassime,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/3209.png,4195,3895,3895,3715,3715,3260,3200,3245,3245,3415,3450,3450,3450,3405,3235,3065,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frances Tiafoe,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2708.png,,,,,,,,,,,,,,,,,,,3085,3085,3085,3130,3130,3085,3085,3050,3050,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grigor Dimitrov,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/1287.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540,3540,3640,3640,3605,3615,3555,3775,3775,3750,3750,3770,3770,3770,3600,3690,3655,3655,3965,3965,3920,3840,3580,3735,3740,3340,3350,3350,3350,3350,3350,3350,3350,3350,3200,3200,,,,,,,,,,,,,,,
Holger Rune,https://static.flashscore.com/res/image/data/SdvMTo4A-tSf4B4RM.png,,2876,2876,3046,3046,3136,3161,3161,3321,3325,3370,3335,3865,4070,3865,4375,4375,4375,4375,4510,4510,4825,4825,4825,4825,4790,4790,4790,4710,4710,4710,4640,4605,4400,4280,3460,3460,3660,3660,3660,3660,3660,3660,3660,3815,3815,3685,3775,3695,3700,3700,3720,3875,3795,3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,3440,3440,3440,3440
Hubert Hurkacz,https://a.espncdn.com/i/headshots/tennis/players/full/2726.png,2905,,,2995,2995,2950,,,,3065,,,,,,,,,,,,,,,,,,,,,,,,,,,3245,3245,3245,3245,3245,3245,3245,3245,3320,3320,3540,3540,3595,3600,3395,3405,3370,3425,3665,3675,3675,3730,3885,3885,3995,3950,4235,4235,4105,4105,4105,4105,4215,4055,4055,4060,4060,4060,4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Draper,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2202.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3780,3780,3870,3820,4440,4610,4610,4800
Jannik Sinner,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/3623.png,,,,,,,,,,,3345,3345,3525,3615,3525,3435,3435,3300,3300,3345,3345,3975,3975,3815,3815,4725,4645,4645,4465,4465,4465,4910,5000,5000,5410,5490,5490,6490,6490,6490,6490,6490,6490,6490,6490,6490,8310,8310,8070,8270,8270,8270,8310,8710,8710,8750,8660,8860,8770,8770,9525,9480,9890,9890,9570,9570,9570,9570,8770,9760,9360,11180,11180,11180,11010,11920,11920,11420,11330,10330,11830,11830,11830,11830,11830,11830,11830,11830,11830,11830,11830,11830,11330,11330,11330,11330,10330,10330,9930,9930,9730,10380,10380,10880
Karen Khachanov,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2367.png,,,,,,,,,,,,,,,,,,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenzo Musetti,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/3764.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3550,3860,3860,4560
Novak Djokovic,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/296.png,4820,5070,5070,7070,7070,7070,7070,6980,7160,7160,7160,7160,7240,7135,6775,5955,5955,7595,7595,7595,7595,8795,8795,8795,8795,8795,9795,9795,11795,11795,11795,11545,11045,11045,11045,11445,9945,11245,11245,11245,11245,11245,11245,11245,11055,11055,9855,9855,9855,9855,9855,9675,9725,9725,9725,10035,9990,9990,9860,9960,8360,8360,8360,8360,8460,8460,8460,8460,8460,7460,7460,5560,5560,5560,5560,6210,6210,6210,5210,3910,3910,3910,3910,3910,3910,3910,3910,3900,3900,3900,3900,3900,3900,3900,3900,3860,4510,4510,4120,4120,4130,4080,4230,4630
Rafael Nadal,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/261.png,6020,5770,5770,3815,3815,3815,3815,3315,3315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefanos Tsitsipas,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2869.png,5550,5715,5715,6195,6195,5940,5940,5805,5805,5770,5770,5770,4950,5195,5015,4775,4775,4920,4875,4670,4670,4850,4850,4850,5090,5090,4580,4580,4615,4615,4615,4615,4360,4300,4435,4435,4235,4235,4235,4235,4235,4235,4235,4235,4025,4025,3025,3025,3025,,,,,,,3995,4030,3860,3700,3700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405,3405,3445,3445,,,,,,
Taylor Fritz,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2946.png,3355,3545,3545,3410,3410,3455,3660,3660,3795,2975,3065,3065,3245,3290,3380,3390,3470,3515,3515,3310,3310,3310,3310,3515,3605,3605,3605,3605,3955,3955,3955,3865,3410,3500,3500,3500,3100,3100,3100,3100,3100,3100,3100,3100,,,3195,3195,3150,3150,3150,,,,,,,,,,,,,,,,,,,,,4060,4060,4060,4060,4415,4380,4335,4300,4300,5100,5100,5100,5100,5100,5100,5100,5350,5350,5050,5050,5100,4900,4900,4900,4900,5290,5290,5280,5115,4815,4625,4675,4485
Tommy Paul,https://a.espncdn.com/combiner/i?img=/i/headshots/tennis/players/full/2964.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495,3495,3445,3280,3280,,,,,,,,,,3510
